demand,affected,nominal_path,nominal_fs,gurobi_path,gurobi_fs,gurobi_migration_type,greedy_path,greedy_fs,greedy_migration_type
1,True,3 -> 11 -> 16,[7; 12],3 -> 5 -> 10 -> 16,[58; 63],route_and_spectrum,3 -> 5 -> 10 -> 16,[67; 72],route_and_spectrum
4,True,16 -> 10 -> 2 -> 5 -> 3,[7; 12],16 -> 10 -> 5 -> 3,[64; 69],route_and_spectrum,16 -> 10 -> 5 -> 3,[43; 48],route_and_spectrum
7,True,4 -> 2 -> 5 -> 3,[13; 18],4 -> 9 -> 5 -> 3,[39; 44],route_and_spectrum,4 -> 9 -> 5 -> 3,[61; 66],route_and_spectrum
8,True,3 -> 5 -> 2 -> 16,[19; 24],3 -> 5 -> 10 -> 16,[52; 57],route_and_spectrum,3 -> 5 -> 10 -> 16,[55; 60],route_and_spectrum
12,True,5 -> 2 -> 9 -> 15,[25; 30],5 -> 9 -> 15,[29; 34],route_and_spectrum,5 -> 9 -> 15,[31; 36],route_and_spectrum
14,True,10 -> 2 -> 16 -> 11,[25; 30],10 -> 5 -> 3 -> 11,[46; 51],route_and_spectrum,10 -> 5 -> 3 -> 11,[49; 54],route_and_spectrum
20,True,3 -> 18 -> 5 -> 2,[1; 6],3 -> 5 -> 10 -> 2,[33; 38],route_and_spectrum,3 -> 5 -> 10 -> 2,[79; 84],route_and_spectrum
34,True,16 -> 11 -> 6,[1; 6],16 -> 10 -> 5 -> 3 -> 6,[70; 75],route_and_spectrum,16 -> 10 -> 5 -> 3 -> 6,[31; 36],route_and_spectrum
44,True,11 -> 16 -> 4 -> 13,[13; 18],11 -> 7 -> 4 -> 13,[50; 55],route_and_spectrum,11 -> 3 -> 5 -> 9 -> 4 -> 13,[37; 42],route_and_spectrum
48,True,11 -> 16 -> 4 -> 13,[19; 24],11 -> 7 -> 4 -> 13,[69; 74],route_and_spectrum,11 -> 3 -> 5 -> 9 -> 4 -> 13,[73; 78],route_and_spectrum
