index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;14;18;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;7;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;2;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
5;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;9;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;11;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;12;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
9;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;16;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;12;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;16;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;18;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;1;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;2;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;13;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
29;10;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
30;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;9;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
36;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;7;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;13;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
41;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;5;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
43;12;3;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
44;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;11;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
47;7;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
48;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
50;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;5;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
52;18;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
53;9;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;10;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
55;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;10;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
57;15;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
58;5;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
59;14;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;6;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
