index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;16;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;12;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;5;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;1;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;12;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;3;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;16;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;7;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;9;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;16;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;17;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;6;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
30;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;7;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;18;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
33;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
34;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
36;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;5;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;9;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;14;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
43;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;3;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
49;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
50;15;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
51;3;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
52;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
53;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
54;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
55;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;5;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;13;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
59;10;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
60;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
61;4;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
62;2;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
63;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
64;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
65;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
66;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
67;11;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
68;9;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
69;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
70;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
