index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;13;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;2;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;9;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;13;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;3;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;2;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;5;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;11;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;16;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;13;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;5;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;14;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;6;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;1;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;7;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;9;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;13;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;14;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
23;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;10;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;8;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
26;16;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;13;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;10;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;3;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;11;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;7;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;9;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;16;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
39;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;4;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
43;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
45;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;7;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
47;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;5;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;1;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
