index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;7;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;1;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;13;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;8;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;2;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;14;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;10;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;12;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;6;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;11;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;4;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
20;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;7;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;15;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;17;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;4;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;11;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;17;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;6;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;11;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;7;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;17;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;12;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
39;16;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;3;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;4;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
42;11;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;15;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
44;14;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;15;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
47;1;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;5;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
49;12;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
52;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
53;8;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
54;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;1;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
56;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
