index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
2;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;5;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;9;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
9;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;6;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
14;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;5;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
18;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
19;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
25;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
29;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
30;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;12;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;1;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
36;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
38;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;8;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
42;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
45;9;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
46;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;8;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
50;7;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
51;10;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
