index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;4;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;6;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;17;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;7;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;4;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
10;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;17;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
13;16;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;6;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;7;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;16;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;3;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;5;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;3;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;10;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;16;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;10;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;9;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;17;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;3;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;4;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;3;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;3;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;8;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
37;8;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;9;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;15;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;8;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;16;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;10;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;11;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
44;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;12;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;11;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
47;10;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
48;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;1;18;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
51;12;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
52;15;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;9;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
54;13;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
55;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;9;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
57;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
59;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;14;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
61;8;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
62;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
63;12;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
64;16;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
65;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
66;18;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
67;8;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
68;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
69;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
70;13;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
71;15;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
72;14;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
73;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
74;13;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
75;5;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
76;15;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
77;13;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
78;7;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
79;3;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
80;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
