index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;17;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;16;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;16;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;9;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;9;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;16;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;3;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;7;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;16;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;15;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
15;3;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;16;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;2;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
22;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;14;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;10;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
25;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;5;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;7;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;16;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;6;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
31;6;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
35;12;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;1;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;1;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;14;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;16;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;11;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
41;6;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;17;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
43;1;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
44;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
45;4;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
46;11;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;4;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
