index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;10;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;5;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;13;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;4;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;15;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;17;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;7;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
11;3;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
12;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;1;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;5;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;10;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;11;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;12;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;15;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;6;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;9;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;6;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;12;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;16;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;3;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;7;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
31;15;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;7;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;5;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
35;8;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;10;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
37;9;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;6;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
39;3;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;6;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
