index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
2;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;5;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
12;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;8;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;10;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
20;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
21;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;7;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;14;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;1;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
30;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
