index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
4;9;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;4;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
15;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
21;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;13;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
23;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
26;5;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
32;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
33;9;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
37;9;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
39;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
40;9;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;9;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
42;9;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
46;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
50;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;12;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
52;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;8;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
55;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
56;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;13;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
58;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
