index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;17;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;12;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;9;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;11;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;12;17;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;16;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;18;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;18;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;17;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;18;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
19;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;3;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;2;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;3;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;3;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;2;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
27;14;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
28;17;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;17;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;17;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;17;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;12;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;2;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;13;18;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
38;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;14;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
40;9;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
