index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;17;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;7;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
6;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;18;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;10;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;2;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;10;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;11;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;13;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;18;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;6;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
20;16;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;10;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;13;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;10;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;10;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;15;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;3;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;3;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;2;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
35;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;10;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;18;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;18;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
