index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;11;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;2;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;4;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;2;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;12;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;17;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
12;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;9;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
14;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;9;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;10;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;8;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;9;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
20;6;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
