index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;5;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;13;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;4;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;15;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;17;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;9;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;7;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;1;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;11;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;11;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;12;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;15;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;6;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;9;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;6;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;11;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;12;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;16;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;15;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;7;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
33;5;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
35;8;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;10;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
37;9;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;6;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
39;3;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;6;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
