index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
2;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;14;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;14;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;12;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
