index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;5;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
4;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
6;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;12;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;12;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;4;8;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
14;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
20;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
21;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;5;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;12;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;13;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;5;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
31;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
33;6;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
37;14;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;14;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
42;3;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
44;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
47;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;10;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
53;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
54;9;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
55;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;13;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;14;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
61;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
62;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
