index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;8;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;16;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;14;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;7;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;10;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;8;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;16;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;16;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;9;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;16;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;8;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;15;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;12;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;11;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;15;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;7;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;10;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;5;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;17;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
34;10;16;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;11;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;9;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;10;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
41;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;8;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
43;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;10;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
45;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
47;2;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;12;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
49;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;7;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
52;17;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
53;11;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
54;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
56;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
60;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
