index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;17;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;15;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;7;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;10;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;16;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;9;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;4;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;2;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;16;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;15;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;4;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;11;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;6;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;9;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;12;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;6;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;8;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;1;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
28;1;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;6;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;2;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
