Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;2;1100;30;30;14;3.4796973636102273e-06;4.954368972561708e-06;7.633397849637266e-06;17;20.0;12.5
2;1;3;1600;30;30;20;5.012399269630773e-06;7.2874834106052735e-06;1.1219932232349664e-05;17;20.0;12.5
3;1;8;2800;30;30;35;8.39110623843265e-06;1.2334983196990075e-05;1.900860759412213e-05;17;20.0;12.5
4;2;3;600;30;30;8;1.974560854350557e-06;2.6739696446242575e-06;4.1257155463712025e-06;17;20.0;12.5
5;2;4;1000;30;30;13;3.0863301262934285e-06;4.3288681340595955e-06;6.6806571718495326e-06;17;20.0;12.5
6;3;6;2000;30;30;25;6.1386349258980645e-06;8.969983339400207e-06;1.3816157352940485e-05;17;20.0;12.5
7;4;5;600;30;30;8;1.974560854350557e-06;2.6739696446242575e-06;4.1257155463712025e-06;17;20.0;12.5
8;4;11;2400;30;30;30;7.264870582165357e-06;1.0652483268195141e-05;1.641238247353131e-05;17;20.0;12.5
9;5;6;1100;30;30;14;3.4796973636102273e-06;4.954368972561708e-06;7.633397849637266e-06;17;20.0;12.5
10;5;7;800;30;30;10;2.7599279570961883e-06;3.922483553015406e-06;6.027481991168021e-06;17;20.0;12.5
11;6;10;1200;30;30;15;3.88616361336348e-06;5.60498348181034e-06;8.623707111758843e-06;17;20.0;12.5
12;6;13;2000;30;30;25;6.1386349258980645e-06;8.969983339400207e-06;1.3816157352940485e-05;17;20.0;12.5
13;7;8;700;30;30;9;2.3566567333475913e-06;3.278001713168194e-06;5.046347172652591e-06;17;20.0;12.5
14;8;9;700;30;30;9;2.3566567333475913e-06;3.278001713168194e-06;5.046347172652591e-06;17;20.0;12.5
15;9;10;900;30;30;12;2.708112959245034e-06;3.732212619223617e-06;5.771057444563614e-06;17;20.0;12.5
16;9;12;500;30;30;7;1.6189484845367258e-06;2.1199421600461424e-06;3.279844428933368e-06;17;20.0;12.5
17;9;14;500;30;30;7;1.6189484845367258e-06;2.1199421600461424e-06;3.279844428933368e-06;17;20.0;12.5
18;11;12;800;30;30;10;2.7599279570961883e-06;3.922483553015406e-06;6.027481991168021e-06;17;20.0;12.5
19;11;14;800;30;30;10;2.7599279570961883e-06;3.922483553015406e-06;6.027481991168021e-06;17;20.0;12.5
20;12;13;300;30;30;4;1.2410087494560802e-06;1.6157266700248981e-06;2.48037364817879e-06;17;20.0;12.5
21;13;14;300;30;30;4;1.2410087494560802e-06;1.6157266700248981e-06;2.48037364817879e-06;17;20.0;12.5
