index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;16;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;8;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;4;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;3;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;8;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
7;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;3;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
9;17;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;2;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;5;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;8;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;13;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
14;4;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
15;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;16;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;18;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
20;18;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;18;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;15;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
23;8;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;11;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;13;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
26;3;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;2;15;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
28;13;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;14;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;4;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;4;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;15;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;18;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
34;16;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;17;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;18;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;7;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;15;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;13;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;15;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;18;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
44;12;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;2;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
46;14;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
47;14;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
48;10;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
49;2;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;13;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
