index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;14;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;17;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;3;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;2;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;13;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;13;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;18;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;5;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;9;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;17;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;1;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;17;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;10;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;13;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
25;17;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;5;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;17;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;3;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;14;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;10;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;2;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;4;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
35;7;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;18;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
41;4;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;15;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
44;15;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
45;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;16;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;6;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;5;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;11;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
51;16;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
52;17;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
54;18;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
55;4;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
56;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;6;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
58;4;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
59;2;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
60;3;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
61;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
62;2;15;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
63;4;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
64;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
65;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
66;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
67;2;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
