index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
4;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;10;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
10;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
20;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;14;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;10;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;5;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
26;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
27;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;8;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;12;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
32;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;5;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;12;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
41;9;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;4;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;1;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
45;14;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
46;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
50;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
