index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
2;18;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;14;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;3;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;2;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;13;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;18;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;5;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;9;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;1;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;10;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
