index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;13;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;8;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;14;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;2;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;3;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
8;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;11;15;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
10;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;12;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;17;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;3;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
16;1;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;10;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;7;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;3;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
20;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;12;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;6;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;16;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;5;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;4;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
30;5;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
