index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;7;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;14;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;6;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;11;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;1;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;11;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;7;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;7;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;4;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;17;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;3;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;5;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;2;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;13;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;6;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;13;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;7;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;9;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;14;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
