index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;13;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;7;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
5;16;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
6;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;11;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;16;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;5;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;14;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;3;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;12;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;6;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;12;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;11;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;6;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;13;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;3;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;10;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;1;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
