Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;5;523;100;100;7;1.7763509019760654e-06;2.384288940114395e-06;3.6766835411798503e-06;17;20.0;12.5
2;1;14;1282;100;100;17;3.677754763591491e-06;5.144495157837996e-06;7.96200355860381e-06;17;20.0;12.5
3;1;15;592;100;100;8;1.9162176052146286e-06;2.5752712343836375e-06;3.977592713809514e-06;17;20.0;12.5
4;1;17;264;100;100;4;1.0201633541562414e-06;1.2493996051395017e-06;1.9300843319886517e-06;17;20.0;12.5
5;1;18;257;100;100;4;9.86580452653805e-07;1.1954269310438606e-06;1.8488434116373915e-06;17;20.0;12.5
6;2;4;264;100;100;4;1.0201633541562414e-06;1.2493996051395017e-06;1.9300843319886517e-06;17;20.0;12.5
7;2;5;649;100;100;9;1.976129109268956e-06;2.6324146336187292e-06;4.077556327278627e-06;17;20.0;12.5
8;2;9;187;100;100;3;8.413450669209492e-07;9.954744876464707e-07;1.5344202351611195e-06;17;20.0;12.5
9;2;10;173;100;100;3;7.875267736040221e-07;9.116252514880876e-07;1.407805299603192e-06;17;20.0;12.5
10;2;16;320;100;100;4;1.4084451695754371e-06;1.9034836384614858e-06;2.912011846459035e-06;17;20.0;12.5
11;3;5;356;100;100;5;1.294159320736454e-06;1.6615146978071512e-06;2.563288197825851e-06;17;20.0;12.5
12;3;6;520;100;100;7;1.7544737601440684e-06;2.3472802658771067e-06;3.6211423251755747e-06;17;20.0;12.5
13;3;11;482;100;100;7;1.510987605148527e-06;1.9414554939280027e-06;3.011696845993692e-06;17;20.0;12.5
14;3;18;634;100;100;8;2.2542295824497934e-06;3.1536367145963423e-06;4.845260221374137e-06;17;20.0;12.5
15;4;7;778;100;100;10;2.564004215356862e-06;3.583517066424952e-06;5.51912430239043e-06;17;20.0;12.5
16;4;9;288;100;100;4;1.1572970829740147e-06;1.4748270920670501e-06;2.268874007333393e-06;17;20.0;12.5
17;4;12;1452;100;100;19;4.19983605841276e-06;5.938228289587991e-06;9.181694226121184e-06;17;20.0;12.5
18;4;13;1051;100;100;14;3.0823599974224293e-06;4.274007465125379e-06;6.612746173537475e-06;17;20.0;12.5
19;4;15;790;100;100;10;2.6684393129459935e-06;3.7637360784596253e-06;5.789421196856883e-06;17;20.0;12.5
20;4;16;342;100;100;5;1.211459172150297e-06;1.5250421429202365e-06;2.3582388986254445e-06;17;20.0;12.5
21;5;9;601;100;100;8;1.982040901376315e-06;2.6866601288401096e-06;4.144758931816153e-06;17;20.0;12.5
22;5;10;574;100;100;8;1.7941801110447895e-06;2.370550909204976e-06;3.670251641198958e-06;17;20.0;12.5
23;5;18;279;100;100;4;1.1015241157008866e-06;1.382257272525838e-06;2.129831813220365e-06;17;20.0;12.5
24;6;11;417;100;100;6;1.3897722156617194e-06;1.7801618719954054e-06;2.7554712494619937e-06;17;20.0;12.5
25;7;11;1264;100;100;16;3.965028913976628e-06;5.6874875082800776e-06;8.762054864979188e-06;17;20.0;12.5
26;7;16;463;100;100;6;1.7096652685394805e-06;2.318619225654985e-06;3.5637598087640817e-06;17;20.0;12.5
27;8;12;1683;100;100;22;4.796683763373345e-06;6.8114696884171045e-06;1.0535069331015355e-05;17;20.0;12.5
28;8;13;1188;100;100;15;3.7758801447616e-06;5.4135299098320005e-06;8.336602979700104e-06;17;20.0;12.5
29;8;14;1461;100;100;19;4.272200465319366e-06;6.062007381565082e-06;9.367387492448661e-06;17;20.0;12.5
30;8;17;527;100;100;7;1.8061874723733298e-06;2.434892997947816e-06;3.75262103855602e-06;17;20.0;12.5
31;9;10;320;100;100;4;1.4084451695754371e-06;1.9034836384614858e-06;2.912011846459035e-06;17;20.0;12.5
32;9;15;304;100;100;4;1.2715296200612433e-06;1.667625328753913e-06;2.558246866069888e-06;17;20.0;12.5
33;10;16;357;100;100;5;1.3004728221435625e-06;1.6720165565119473e-06;2.579060444039619e-06;17;20.0;12.5
34;11;16;1153;100;100;15;3.476203046011716e-06;4.897304177768869e-06;7.562317041841699e-06;17;20.0;12.5
35;12;13;502;100;100;7;1.6317303752053408e-06;2.14123441362125e-06;3.3118199938169355e-06;17;20.0;12.5
36;13;15;1246;100;100;16;3.8081115514464318e-06;5.416652089646692e-06;8.355851256450074e-06;17;20.0;12.5
37;14;17;1083;100;100;14;3.334646457075654e-06;4.704608599332207e-06;7.258779222119398e-06;17;20.0;12.5
38;14;18;1535;100;100;20;4.446895999904329e-06;6.311576536364464e-06;9.756238465538517e-06;17;20.0;12.5
39;15;17;591;100;100;8;1.9091082185852684e-06;2.5632796977172692e-06;3.959594259492193e-06;17;20.0;12.5
40;8;15;217;100;100;3;1.0014012261774524e-06;1.256460762106912e-06;1.9268844249083674e-06;17;20.0;12.5
