index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;10;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;10;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
8;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
10;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;11;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
