index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;7;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;14;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;1;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;6;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;11;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
8;4;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;1;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;11;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;5;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;7;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;7;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
14;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;17;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;15;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;3;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;5;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
21;2;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
22;13;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
23;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;6;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;13;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;7;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;6;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;14;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
