index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
2;17;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;9;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;16;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;15;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
10;4;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;2;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
12;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
14;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;15;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;12;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;4;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;15;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;11;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;6;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;12;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
23;6;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;4;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;8;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;1;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
27;8;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;1;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;6;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;2;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
31;3;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;4;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
33;5;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
35;11;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;13;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;3;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;8;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;7;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;7;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
41;7;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
42;9;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;6;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
44;8;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
45;13;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
46;2;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
47;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
48;10;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
49;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;6;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
51;11;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;1;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;3;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
54;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
55;15;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
56;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
57;12;7;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
58;17;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
59;2;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
60;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
61;1;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
62;2;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
63;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
64;15;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
65;3;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
66;9;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
67;12;7;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
68;10;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
69;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
70;16;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
