Index;Origin;Destination;length;slices;cost;lineAmps;noiseC;noiseL;noiseS;dispC;dispL;dispS
1;1;3;160;120;120;2;9.579509070685202e-07;1.2304836669435123e-06;1.8735217982227066e-06;17;20.0;12.5
2;1;9;313;120;120;4;1.3454746769909128e-06;1.7944197716156354e-06;2.7484502039698548e-06;17;20.0;12.5
3;2;3;124;120;120;2;7.272398409490649e-07;8.450426057540931e-07;1.2946041190951128e-06;17;20.0;12.5
4;2;4;288;120;120;4;1.1572970829740147e-06;1.4748270920670501e-06;2.268874007333393e-06;17;20.0;12.5
5;2;5;159;120;120;2;9.486979979206144e-07;1.214408612906861e-06;1.8494160354077899e-06;17;20.0;12.5
6;3;5;132;120;120;2;7.638099993589222e-07;9.034416502825202e-07;1.3825580409875148e-06;17;20.0;12.5
7;4;5;291;120;120;4;1.177176059645783e-06;1.508083802134209e-06;2.318807208924685e-06;17;20.0;12.5
8;4;10;195;120;120;3;8.773567138520415e-07;1.0528576214873133e-06;1.6208599012363291e-06;17;20.0;12.5
9;5;9;183;120;120;3;8.248501699102416e-07;9.695122937829242e-07;1.4952639353295774e-06;17;20.0;12.5
10;5;10;264;120;120;4;1.0201633541562414e-06;1.2493996051395017e-06;1.9300843319886517e-06;17;20.0;12.5
11;5;11;352;120;120;5;1.2694641960802555e-06;1.6205466114636728e-06;2.50175181838472e-06;17;20.0;12.5
12;6;7;35;120;120;1;5.485480970202901e-07;6.015183272227787e-07;9.118500767905524e-07;17;20.0;12.5
13;6;9;37;120;120;1;5.516962115778714e-07;6.054646273260554e-07;9.181934208216635e-07;17;20.0;12.5
14;7;8;42;120;120;1;5.604473729261054e-07;6.169005076480173e-07;9.362574734316055e-07;17;20.0;12.5
15;8;9;95;120;120;2;6.364330709022392e-07;7.080767142070992e-07;1.086689133142376e-06;17;20.0;12.5
16;8;11;194;120;120;3;8.726216088804938e-07;1.0452610199319185e-06;1.609423686271812e-06;17;20.0;12.5
17;10;11;393;120;120;5;1.570224838633387e-06;2.129965195098768e-06;3.266267178261881e-06;17;20.0;12.5
18;10;13;281;120;120;4;1.1134366287007517e-06;1.4019340504014086e-06;2.1593942811020835e-06;17;20.0;12.5
19;11;12;79;120;120;1;7.235549114000422e-07;8.781089337289474e-07;1.3304706946734285e-06;17;20.0;12.5
20;11;13;225;120;120;3;1.0576207232324607e-06;1.3511659263750583e-06;2.069038173630687e-06;17;20.0;12.5
21;12;14;66;120;120;1;6.356333219602627e-07;7.304626728540294e-07;1.1087948954869464e-06;17;20.0;12.5
22;13;15;208;120;120;3;9.457130349448337e-07;1.1640455947553224e-06;1.7880729373736532e-06;17;20.0;12.5
23;13;17;166;120;120;3;7.643674188871529e-07;8.763919662607244e-07;1.3544283526525746e-06;17;20.0;12.5
24;14;15;80;120;120;1;7.327037758150616e-07;8.939836811845254e-07;1.3542767741045422e-06;17;20.0;12.5
25;15;16;92;120;120;2;6.29702400633818e-07;6.986082099942338e-07;1.0721000452295478e-06;17;20.0;12.5
26;16;17;156;120;120;2;9.221687421279543e-07;1.1685471598997484e-06;1.780635009331512e-06;17;20.0;12.5
