index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;9;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
6;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;9;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;3;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;9;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;11;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;12;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
19;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
21;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
23;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
32;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;7;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
37;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
