index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;18;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;1;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
4;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;10;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;11;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;9;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;9;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;17;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;13;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;10;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
15;2;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;7;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;5;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;16;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;12;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;12;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;1;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;18;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;9;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
31;17;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;14;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;6;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;10;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;14;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;8;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;2;3;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
42;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;4;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;17;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;16;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;10;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
49;9;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
51;10;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
52;17;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;7;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;14;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
55;4;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
56;11;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
58;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;6;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
60;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
61;14;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
62;18;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;15;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
64;7;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;3;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
66;5;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
67;9;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
68;13;18;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
69;5;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
70;13;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
71;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
72;15;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
73;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
74;18;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
75;6;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
76;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
77;13;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
78;16;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
79;5;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
80;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
81;15;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
82;5;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
83;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
84;9;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
85;18;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
86;17;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
87;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
88;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
89;6;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
90;12;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
91;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
92;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
93;12;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
94;5;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
95;6;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
96;10;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
97;3;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
98;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
99;12;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
100;1;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
