index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;5;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;7;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;8;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;10;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
19;5;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
21;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;14;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;11;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
28;1;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
30;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
31;4;8;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
34;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;2;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
39;13;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
40;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;4;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;12;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
49;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
51;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;12;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
