index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;14;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
8;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;9;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
18;10;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
20;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
21;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;12;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;9;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
28;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
33;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
39;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;14;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
42;12;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
