edge_slice_demand;k_1= (10,9,6);k_2= (3,8,6);k_3= (15,9,6);k_4= (11,1,6);k_5= (14,4,6);k_6= (13,5,6);k_7= (2,18,6);k_8= (13,4,6);k_9= (15,7,6);k_10= (7,5,6);k_11= (10,12,6);k_12= (12,4,6);k_13= (18,17,6);k_14= (15,10,6);k_15= (8,15,6);k_16= (12,9,6);k_17= (11,4,6);k_18= (9,16,6);k_19= (12,1,6);k_20= (16,10,6);
[1,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;
[1,18]; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;
[3,5]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,11]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,18]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,7]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[4,12]; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ;
[4,13]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[4,15]; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,16]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;
[5,9]; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,18]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[7,16]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[8,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[8,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[9,10];1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[9,15]; ;1;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[10,16]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;
[11,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,17]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,17]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,15]; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
 slice allocation ;6;22;30;26;22;6;16;30;30;30;27;18;17;13;30;7;6;6;7;6;
