edge_slice_demand;k_1= (8,16,6);k_2= (13,17,6);k_3= (8,2,6);k_4= (4,1,6);k_5= (14,4,6);k_6= (2,13,6);k_7= (3,2,6);k_8= (8,16,6);k_9= (11,15,6);k_10= (2,4,6);k_11= (12,16,6);k_12= (8,11,6);k_13= (4,14,6);k_14= (17,11,6);k_15= (3,13,6);k_16= (1,17,6);k_17= (10,9,6);k_18= (7,12,6);k_19= (3,12,6);k_20= (16,13,6);k_21= (12,15,6);k_22= (5,15,6);k_23= (16,15,6);k_24= (7,16,6);k_25= (6,3,6);k_26= (6,16,6);k_27= (16,17,6);k_28= (5,13,6);k_29= (4,6,6);k_30= (5,16,6);
[1,3]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[2,3]; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[4,10]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ;
[5,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ;1; ;1; ;1;
[5,11]; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ;
[7,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ;
[8,9]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[8,11];1; ; ; ; ; ; ;1; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ;1; ;1;
[11,12]; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;
[11,13];1; ; ; ; ; ; ;1;1; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[12,14]; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[13,15];1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;
[13,17]; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ;1;
[14,15]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[15,16];1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ;1;
 slice allocation ;20;39;19;45;15;36;6;6;38;6;6;33;37;26;27;45;35;27;6;33;45;45;39;14;6;13;45;6;45;20;
