index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;6;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
2;17;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
3;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
4;9;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
5;7;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
6;10;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
7;16;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;15;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
9;9;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;4;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
11;2;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
12;13;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
13;1;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
14;16;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
15;15;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;12;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
17;4;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
18;15;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
19;11;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;6;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;9;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
22;12;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
23;6;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
24;4;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
25;8;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;1;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
27;8;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
28;1;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
29;6;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
30;2;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
31;3;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
32;4;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
33;5;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
34;9;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
35;11;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
36;13;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
37;3;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
38;8;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
39;7;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
40;7;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
41;7;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
42;9;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
43;6;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
44;8;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
45;13;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
46;2;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
47;3;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
48;10;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
49;4;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
50;6;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
51;11;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
52;1;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
53;3;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
54;12;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
55;15;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
56;9;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
57;12;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
58;17;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
59;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
60;10;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
61;1;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
62;2;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
63;6;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
64;15;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
65;3;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
66;9;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
67;12;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
68;10;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
69;9;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
70;16;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;70
Nb_Blocked_Demands;0
Nb_Served_Slices;420
Nb_Blocked_Slices;0
