index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;8;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
2;5;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
3;17;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
4;6;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;3;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
6;13;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
7;4;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
8;13;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
9;11;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;8;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
11;9;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
12;3;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;6;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
14;12;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
15;13;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
16;16;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
17;3;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
18;7;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
19;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;2;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;2;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;5;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
23;8;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
24;17;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
25;1;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;14;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
27;11;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
28;14;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
29;14;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
30;8;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
31;15;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
32;1;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
33;3;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
34;11;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
35;11;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
36;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
37;8;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
38;2;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
39;12;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
40;6;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
41;3;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
42;8;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
43;11;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
44;11;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
45;5;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
46;6;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
47;12;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
