index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;4;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
2;14;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
3;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
4;12;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
5;4;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
6;7;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
7;14;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
8;7;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
9;5;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
10;14;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
11;8;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
12;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
13;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
14;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
15;3;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
16;8;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
17;3;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
18;6;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
19;3;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
20;6;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
21;6;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
22;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
23;14;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
24;1;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
25;13;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
26;9;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
27;11;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
28;11;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
29;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
30;7;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;30
Nb_Served_Slices;0
Nb_Blocked_Slices;153
