index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;14;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
2;4;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;4;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;14;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
5;11;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
6;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
7;5;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;11;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
9;10;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
10;5;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
11;11;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;5;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
13;10;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
14;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
15;3;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
16;8;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
17;5;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;13;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
19;13;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
20;10;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
21;9;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;9;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
23;2;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;4;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
25;14;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;7;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
27;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
28;3;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
29;10;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;2;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;30
Nb_Blocked_Demands;0
Nb_Served_Slices;159
Nb_Blocked_Slices;0
