edge_slice_demand;k_1= (7,9,6);k_2= (13,9,6);k_3= (8,14,6);k_4= (11,9,6);k_5= (11,13,6);k_6= (10,3,3);k_7= (14,4,3);k_8= (1,13,3);k_9= (11,7,6);k_10= (14,2,3);k_11= (10,1,3);k_12= (3,8,3);k_13= (4,8,6);k_14= (9,4,6);k_15= (9,6,6);k_16= (9,8,6);k_17= (11,1,3);k_18= (5,9,6);k_19= (14,10,6);k_20= (6,14,6);k_21= (3,6,6);k_22= (11,1,3);k_23= (12,14,6);k_24= (13,9,6);k_25= (5,9,6);k_26= (6,7,6);k_27= (1,12,3);k_28= (12,9,6);k_29= (12,1,3);k_30= (12,11,6);k_31= (9,5,6);k_32= (6,2,6);k_33= (5,8,6);k_34= (11,6,3);k_35= (10,9,6);k_36= (2,4,6);k_37= (10,14,6);k_38= (5,9,6);k_39= (8,4,6);k_40= (1,12,3);
[1,2]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;
[3,6]; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[4,11]; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,6]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ;1; ;1; ; ; ; ;1;1; ;
[6,10]; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,13]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[7,8];1; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ;1;1; ;
[8,9];1; ;1; ; ; ; ; ;1; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ;1; ;1;
[9,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;
[9,12]; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;
[9,14]; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[11,12]; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;
[11,14]; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[12,13]; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
 slice allocation ;6;16;48;53;22;24;54;3;18;10;60;10;36;42;13;60;60;30;60;10;57;13;42;60;54;6;3;6;36;60;24;17;48;60;6;47;40;12;60;33;
