edge_slice_demand;k_1= (13,2,3);k_2= (13,2,3);k_3= (10,2,3);k_4= (13,2,3);k_5= (5,1,6);k_6= (2,7,6);k_7= (10,9,6);k_8= (1,3,6);k_9= (1,5,6);k_10= (6,8,6);k_11= (10,2,3);k_12= (14,6,6);k_13= (8,5,6);k_14= (6,5,6);k_15= (7,3,3);k_16= (7,8,6);k_17= (4,9,6);k_18= (8,3,3);k_19= (9,13,6);k_20= (4,14,3);k_21= (2,9,3);k_22= (7,14,6);k_23= (14,3,3);k_24= (2,12,3);k_25= (5,12,6);k_26= (13,6,6);k_27= (10,12,6);k_28= (11,8,6);k_29= (9,7,6);k_30= (2,11,3);k_31= (1,12,3);k_32= (6,2,6);k_33= (10,2,3);k_34= (8,6,6);k_35= (12,1,3);k_36= (10,1,3);k_37= (10,6,6);k_38= (1,5,6);k_39= (4,1,6);k_40= (1,2,6);k_41= (4,2,6);k_42= (3,1,6);k_43= (10,4,6);k_44= (6,13,6);k_45= (8,9,6);k_46= (11,14,6);k_47= (12,14,6);k_48= (6,2,6);k_49= (13,12,6);k_50= (4,5,6);k_51= (2,11,3);k_52= (9,14,6);k_53= (5,13,3);k_54= (1,6,3);k_55= (13,1,3);k_56= (9,11,6);k_57= (9,12,6);k_58= (12,8,6);k_59= (3,6,6);k_60= (8,11,6);k_61= (8,7,6);k_62= (13,2,3);k_63= (7,4,6);k_64= (9,5,6);k_65= (13,3,3);k_66= (9,11,6);k_67= (5,13,3);k_68= (12,3,3);k_69= (1,9,3);k_70= (4,6,6);k_71= (3,12,3);k_72= (11,1,3);k_73= (4,11,6);k_74= (14,5,6);k_75= (9,10,6);k_76= (2,10,3);k_77= (7,9,6);k_78= (14,12,6);k_79= (13,5,3);k_80= (12,4,3);k_81= (5,9,6);k_82= (9,13,6);k_83= (5,3,6);k_84= (13,10,6);k_85= (11,4,6);k_86= (6,5,6);k_87= (3,2,6);k_88= (6,10,6);k_89= (7,12,6);k_90= (12,10,6);
[1,2]; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3];1;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ;
[2,4]; ; ; ;1;1;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ;1; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,6];1;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ;1; ; ;1; ; ;1; ; ;1; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,5]; ; ; ;1;1;1; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[4,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;
[5,6]; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;
[5,7]; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
