index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;8;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
2;18;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
3;1;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
4;5;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
5;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
6;10;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
7;11;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
8;7;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
9;9;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
10;9;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
11;6;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
12;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
13;13;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
14;10;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
15;2;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
16;11;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
17;7;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
18;5;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
19;16;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
20;12;15;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
21;12;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
22;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
23;1;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
24;18;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
25;9;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
26;9;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
27;7;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
28;8;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
29;12;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
30;7;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
31;17;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
32;14;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
33;4;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
34;9;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
35;6;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
36;11;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
37;10;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
38;14;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
39;15;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
40;8;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
41;2;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
42;17;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
43;4;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
44;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
45;17;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
46;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
47;16;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
48;10;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
49;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
50;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
51;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
52;17;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
53;7;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
54;14;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
55;4;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
56;11;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
57;15;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
58;12;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
59;6;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
60;6;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
61;14;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
62;18;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
63;15;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
64;7;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
65;3;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
66;5;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
67;9;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
68;13;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
69;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
70;13;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
71;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
72;15;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
73;15;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
74;18;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
75;6;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
76;3;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
77;13;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
78;16;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
79;5;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
80;15;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
81;15;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
82;5;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
83;13;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
84;9;16;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
85;18;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
86;17;1;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
87;2;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
88;9;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
89;6;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
90;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
91;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
92;2;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
93;12;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
94;5;18;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
95;6;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
96;10;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
97;3;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
98;1;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
99;12;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
100;1;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;100
Nb_Served_Slices;0
Nb_Blocked_Slices;476
