index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;11;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
2;17;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
3;12;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;7;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
5;6;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
6;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
7;10;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;11;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
9;13;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;12;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
11;6;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
12;16;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
13;3;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;2;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
15;18;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
16;18;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
17;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;18;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
19;8;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
20;3;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
21;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
22;2;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
23;3;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
24;3;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
25;8;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
26;2;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
27;14;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
28;17;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
29;6;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
30;17;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;17;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;17;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
34;7;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
35;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
36;2;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
37;13;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;7;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;14;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
40;9;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1

Nb_Served_Demands;40
Nb_Blocked_Demands;0
Nb_Served_Slices;198
Nb_Blocked_Slices;0
