index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;5;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
2;14;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;17;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
4;7;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
5;5;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
6;7;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
7;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;18;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
9;7;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
10;10;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
11;2;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
12;10;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
13;11;2;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;5;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
15;15;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
16;2;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
17;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
18;18;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
19;6;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
20;16;7;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
21;10;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
22;14;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
23;13;15;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
24;10;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
25;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;10;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
27;15;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
28;3;15;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;3;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
30;11;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;3;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;2;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;5;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
34;5;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
35;11;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
36;10;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
37;7;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
38;10;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;18;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
40;18;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1

Nb_Served_Demands;40
Nb_Blocked_Demands;0
Nb_Served_Slices;178
Nb_Blocked_Slices;0
