edge_slice_demand;k_1= (4,16,4);k_2= (6,4,4);k_3= (1,12,4);k_4= (12,7,3);k_5= (9,11,3);k_6= (13,5,3);k_7= (5,4,3);k_8= (11,8,3);k_9= (8,7,3);k_10= (11,10,3);k_11= (14,4,4);k_12= (10,11,3);k_13= (3,2,3);k_14= (15,8,4);k_15= (9,16,4);k_16= (16,6,4);k_17= (6,2,3);k_18= (4,1,4);k_19= (15,10,3);k_20= (7,3,4);k_21= (10,4,3);k_22= (1,3,3);k_23= (8,10,4);k_24= (1,2,3);k_25= (12,10,3);k_26= (14,8,3);k_27= (5,12,3);k_28= (14,12,3);k_29= (2,10,3);k_30= (2,4,3);k_31= (15,7,4);k_32= (12,7,3);k_33= (10,4,3);k_34= (13,14,3);k_35= (10,1,4);k_36= (4,9,3);k_37= (5,17,4);k_38= (7,8,3);k_39= (5,11,3);k_40= (17,6,4);k_41= (10,7,4);k_42= (17,10,3);k_43= (7,8,3);k_44= (10,2,3);k_45= (13,17,3);k_46= (15,1,4);k_47= (16,13,3);k_48= (7,2,4);k_49= (6,4,4);k_50= (1,11,4);k_51= (8,4,4);k_52= (7,3,4);k_53= (1,7,4);k_54= (16,6,4);k_55= (8,1,3);k_56= (2,13,4);k_57= (10,15,3);k_58= (11,14,3);k_59= (2,6,3);k_60= (11,10,3);k_61= (5,12,3);k_62= (11,16,4);k_63= (14,17,3);k_64= (12,9,3);k_65= (12,17,4);k_66= (8,6,3);k_67= (9,2,3);k_68= (5,17,4);k_69= (3,6,3);k_70= (10,5,3);k_71= (7,12,3);k_72= (12,3,4);k_73= (16,13,3);k_74= (3,7,4);k_75= (13,5,3);k_76= (8,3,3);k_77= (2,10,3);k_78= (15,16,3);k_79= (8,13,3);k_80= (4,16,4);k_81= (8,17,4);k_82= (17,15,3);k_83= (17,12,4);k_84= (7,10,4);k_85= (17,14,3);k_86= (4,6,4);k_87= (15,17,3);k_88= (7,2,4);k_89= (8,15,4);k_90= (13,2,4);k_91= (5,10,3);k_92= (11,14,3);k_93= (5,1,3);k_94= (14,10,4);k_95= (14,2,4);k_96= (17,4,4);k_97= (5,17,4);k_98= (13,17,3);k_99= (9,16,4);k_100= (15,13,3);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[1,9]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[4,5]; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[5,9]; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[5,10]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;
