edge_slice_demand;k_1= (16,10,4);k_2= (7,13,4);k_3= (2,10,3);k_4= (14,2,4);k_5= (9,10,3);k_6= (13,9,4);k_7= (1,4,4);k_8= (17,11,3);k_9= (3,5,3);k_10= (10,13,3);k_11= (2,12,4);k_12= (6,12,4);k_13= (2,14,4);k_14= (5,16,4);k_15= (2,13,4);k_16= (1,15,4);k_17= (12,2,4);k_18= (3,15,4);k_19= (1,10,4);k_20= (7,15,4);k_21= (8,3,3);k_22= (16,3,4);k_23= (3,17,4);k_24= (9,17,4);k_25= (5,1,3);k_26= (13,1,4);k_27= (2,4,3);k_28= (13,5,3);k_29= (17,3,4);k_30= (15,4,4);k_31= (7,9,3);k_32= (4,13,3);k_33= (12,15,3);k_34= (3,17,4);k_35= (3,12,4);k_36= (16,8,4);k_37= (5,9,3);k_38= (10,14,4);k_39= (1,11,4);k_40= (10,16,4);k_41= (9,16,4);k_42= (5,8,3);k_43= (1,8,3);k_44= (12,14,3);k_45= (6,9,3);k_46= (15,2,4);k_47= (3,12,4);k_48= (13,10,3);k_49= (14,17,3);k_50= (7,5,3);k_51= (1,3,3);k_52= (6,4,4);k_53= (12,1,4);k_54= (10,16,4);k_55= (4,14,4);k_56= (1,6,3);k_57= (7,16,4);k_58= (1,2,3);k_59= (12,6,4);k_60= (17,8,4);k_61= (1,8,3);k_62= (4,8,4);k_63= (10,14,4);k_64= (8,15,4);k_65= (6,11,3);k_66= (3,7,4);k_67= (5,11,3);k_68= (7,2,4);k_69= (6,8,3);k_70= (16,12,3);k_71= (7,6,3);k_72= (14,7,4);k_73= (8,7,3);k_74= (1,10,4);k_75= (11,6,3);k_76= (14,1,4);k_77= (7,3,4);k_78= (17,4,4);k_79= (16,9,4);k_80= (5,10,3);
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ;
[1,9]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ;1;1; ; ; ; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ;1;1;1; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[4,10]; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;
[5,9]; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;
[5,10]; ; ;1; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;
[5,11]; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1;1;1;1; ; ; ;1;1; ; ;1; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1; ;1; ;1; ; ; ;
[6,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ;1;1; ; ; ;1; ; ; ;
[7,8]; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;
[8,9]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ;
[8,11]; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1; ;1; ;1;1; ; ;1; ; ; ;1; ; ;1; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13];1; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;1; ;1;1; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;
[11,12]; ; ; ;1; ; ; ; ; ; ;1;1; ; ;1; ;1;1; ;1; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;
[11,13]; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[12,14]; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ;1; ;1; ; ; ; ; ; ;1;1; ; ;1; ;1;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ;1; ; ; ;1; ; ; ; ;
[13,15]; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,17];1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ;1; ;1; ; ; ; ; ; ;1;1; ; ;1; ;1;1; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[16,17];1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
 slice allocation ;86;4;3;118;7;47;38;11;3;91;111;79;23;56;47;107;83;28;72;69;11;16;38;16;56;34;102;19;12;8;34;15;3;65;61;103;14;43;23;27;100;4;8;19;101;12;78;111;19;50;7;63;87;23;98;3;27;3;23;75;53;57;39;33;7;111;3;42;27;111;4;92;120;19;12;55;44;4;33;8;
