index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;3;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
2;13;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
3;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
4;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
5;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
6;2;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
7;1;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
8;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
9;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
10;8;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
11;8;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
12;1;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
13;11;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
14;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
15;11;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
16;12;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
17;8;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
18;13;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
19;1;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
20;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;20
Nb_Served_Slices;0
Nb_Blocked_Slices;90
