index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;9;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
2;5;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
3;6;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;9;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
5;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
6;10;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
7;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;3;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
9;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
10;1;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
12;2;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
13;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
14;11;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
15;12;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
16;13;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
19;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
20;2;1;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
21;11;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
22;8;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;8;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
25;7;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
27;4;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
28;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
29;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
31;13;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
32;7;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
33;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
35;7;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
36;1;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
37;6;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;6;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;2;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
40;1;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;40
Nb_Blocked_Demands;0
Nb_Served_Slices;162
Nb_Blocked_Slices;0
