index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;4;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
2;16;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
3;10;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;17;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
5;13;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;11;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
7;7;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
8;3;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
9;15;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
10;10;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;10
Nb_Blocked_Demands;0
Nb_Served_Slices;44
Nb_Blocked_Slices;0
