edge_slice_demand;k_1= (3,6,6);k_2= (8,12,3);k_3= (13,5,3);k_4= (11,4,6);k_5= (8,5,6);k_6= (5,16,6);k_7= (1,17,6);k_8= (8,6,3);k_9= (3,5,6);k_10= (1,4,6);k_11= (6,5,6);k_12= (8,6,3);k_13= (11,2,6);k_14= (14,4,3);k_15= (7,16,3);k_16= (13,7,6);k_17= (8,5,6);k_18= (16,17,6);k_19= (7,4,6);k_20= (3,11,6);
[1,3];1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;
[1,9];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1;
[4,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[4,10]; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ;
[5,10]; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,11]; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;
[6,7]; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ;
[6,9];1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;
[7,8]; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1;1; ; ; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[8,11]; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;
[10,11]; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[10,13]; ; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[11,12]; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;
[11,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[12,14]; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;
[13,15]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,17]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[15,16]; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
 slice allocation ;18;18;16;14;6;6;12;18;6;6;6;3;12;6;15;12;18;15;12;18;
