index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;13;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
2;13;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
3;9;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
4;2;14;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
5;9;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
6;13;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
7;3;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
8;2;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
9;6;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
10;5;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
11;9;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
12;11;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
13;16;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
14;13;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
15;5;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
16;14;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
17;6;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
18;1;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
19;7;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
20;9;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
21;13;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
22;14;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
23;2;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
24;10;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
25;8;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
26;16;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
27;10;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
28;13;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
29;15;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
30;10;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
31;4;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
32;3;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
33;15;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
34;11;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
35;7;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
36;9;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
37;16;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
38;4;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
39;2;12;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
40;4;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
41;17;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
42;4;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
43;2;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
44;2;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
45;10;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
46;7;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
47;12;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
48;17;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
49;5;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
50;1;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;50
Nb_Blocked_Demands;0
Nb_Served_Slices;235
Nb_Blocked_Slices;0
