index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;14;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
2;7;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
3;6;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
4;2;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
5;2;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
6;10;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
7;15;17;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
8;15;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
9;15;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
10;15;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
11;10;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
12;7;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
13;17;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
14;4;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
15;12;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
16;17;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
17;4;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
18;5;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
19;14;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
20;12;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
21;7;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
22;5;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
23;17;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
24;7;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
25;4;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
26;15;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
27;11;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
28;7;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
29;15;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
30;4;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
31;3;16;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
32;16;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
33;14;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
34;15;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
35;12;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
36;14;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
37;3;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
38;2;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
39;14;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
40;4;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
41;2;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
42;13;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
43;7;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
44;9;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
45;15;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
46;7;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
47;7;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
48;9;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
49;2;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
50;9;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
51;9;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
52;1;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
53;14;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
54;2;17;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
55;14;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
56;3;8;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
57;17;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
58;15;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
59;15;11;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
60;13;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
61;8;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
62;4;3;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
63;10;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
64;13;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
65;17;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;0
66;6;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
67;8;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
68;10;13;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
69;16;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
70;6;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;70
Nb_Served_Slices;0
Nb_Blocked_Slices;290
