edge_slice_demand;k_1= (4,9,3);k_2= (14,7,6);k_3= (5,14,3);k_4= (12,3,3);k_5= (4,1,3);k_6= (7,9,6);k_7= (14,7,3);k_8= (7,9,3);k_9= (5,2,6);k_10= (14,8,3);k_11= (8,1,3);k_12= (2,13,3);k_13= (4,13,3);k_14= (5,13,3);k_15= (3,2,6);k_16= (8,10,6);k_17= (3,8,3);k_18= (6,12,3);k_19= (3,7,3);k_20= (6,7,3);k_21= (6,3,6);k_22= (4,13,3);k_23= (14,12,6);k_24= (1,14,3);k_25= (13,9,3);k_26= (9,8,4);k_27= (11,10,3);k_28= (11,14,6);k_29= (2,12,3);k_30= (7,8,3);
[1,2]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[1,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;
[1,8]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;
[3,6]; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[4,5];1; ;1; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,11]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ;
[5,6];1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[5,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[6,10];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,13]; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[7,8]; ;1; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;
[8,9]; ;1; ; ; ;1;1;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[9,10];1; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;
[9,12]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;
[9,14]; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[11,12]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;
[11,14]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ; ; ;
[13,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;
 slice allocation ;9;12;12;22;3;31;3;6;19;21;6;9;6;15;16;18;3;19;17;3;6;3;13;9;7;25;3;20;6;23;
