index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
2;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
3;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
4;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;5;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
6;2;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
7;10;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
8;1;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
9;1;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
10;6;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;14;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
13;8;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
14;6;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
15;7;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
16;7;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
17;4;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;8;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
19;9;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
20;4;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
21;2;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
22;7;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;2;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
25;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
26;13;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
27;10;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
28;11;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
29;9;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
30;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
31;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
32;6;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
33;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;8;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
35;12;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
36;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
37;10;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
38;1;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
39;4;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
40;1;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
41;4;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
42;3;1;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
43;10;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
44;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
45;8;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
46;11;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
47;12;14;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
48;6;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
49;13;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
50;4;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
51;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
52;9;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
53;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
54;1;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
55;13;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
56;9;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
57;9;12;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
58;12;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
59;3;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
60;8;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
61;8;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
62;13;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
63;7;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
64;9;5;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
65;13;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
66;9;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
67;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
68;12;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
69;1;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
70;4;6;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
71;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
72;11;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
73;4;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
74;14;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
75;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
76;2;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
77;7;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
78;14;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
79;13;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
80;12;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
81;5;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
82;9;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
83;5;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
84;13;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
85;11;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
86;6;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
87;3;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
88;6;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
89;7;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
90;12;10;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;90
Nb_Blocked_Demands;0
Nb_Served_Slices;346
Nb_Blocked_Slices;0
