index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;11;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
2;3;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
3;10;13;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;9;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
5;14;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
6;2;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
7;5;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
8;8;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1
9;3;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
10;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;10;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
12;14;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
13;5;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
14;8;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
15;7;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
16;9;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;8;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;1;2;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
19;4;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
20;10;7;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
21;5;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
22;1;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
23;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
24;8;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
25;9;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
26;4;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
27;10;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
28;6;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
29;5;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
30;8;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
31;1;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
32;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
33;1;9;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
34;10;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
35;2;8;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
36;14;5;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
37;10;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
38;7;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
39;9;14;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
40;12;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
41;1;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
42;5;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
43;14;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;1
44;14;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
45;8;10;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
46;14;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
47;6;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
48;9;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
49;9;8;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
50;14;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
51;13;9;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
52;7;4;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
53;9;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
54;2;13;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
55;5;3;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
56;10;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
57;12;5;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
58;7;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
59;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
60;4;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
61;13;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
62;9;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
63;14;1;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
64;6;2;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
65;8;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
66;2;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
67;6;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
68;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
69;5;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
70;1;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
71;1;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
72;11;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
73;1;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
74;1;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
75;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
76;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
77;11;13;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
78;3;10;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
79;4;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
80;7;12;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
81;13;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
82;14;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
