edge_slice_demand;k_1= (7,11,6);k_2= (4,17,6);k_3= (6,4,6);k_4= (1,12,6);k_5= (11,9,6);k_6= (17,15,6);k_7= (7,1,6);k_8= (4,17,6);k_9= (2,1,6);k_10= (16,14,6);k_11= (6,12,3);k_12= (17,2,6);k_13= (16,1,6);k_14= (18,16,6);k_15= (6,17,6);k_16= (7,15,6);k_17= (12,17,6);k_18= (8,10,6);k_19= (16,2,6);k_20= (3,1,6);k_21= (5,13,6);k_22= (3,7,6);k_23= (10,16,6);k_24= (10,14,6);k_25= (12,17,6);k_26= (10,6,6);k_27= (16,7,6);k_28= (10,9,6);k_29= (9,18,6);k_30= (17,12,6);k_31= (3,18,6);k_32= (4,7,6);k_33= (3,9,6);k_34= (3,15,6);k_35= (18,13,6);k_36= (8,18,6);k_37= (8,6,6);k_38= (9,5,6);k_39= (15,1,6);k_40= (8,1,6);k_41= (16,5,6);k_42= (10,16,6);k_43= (11,18,6);k_44= (6,12,3);k_45= (12,4,6);k_46= (11,18,6);k_47= (10,5,6);k_48= (11,9,6);k_49= (1,18,6);k_50= (9,10,6);k_51= (12,5,6);k_52= (15,3,6);k_53= (9,1,6);k_54= (13,14,6);k_55= (14,10,6);k_56= (9,1,6);k_57= (10,8,6);k_58= (11,9,6);k_59= (12,17,6);k_60= (14,8,6);k_61= (8,6,6);k_62= (3,8,6);k_63= (12,13,6);k_64= (16,5,6);k_65= (13,8,6);k_66= (18,5,6);k_67= (8,4,6);k_68= (17,5,6);k_69= (11,12,3);k_70= (13,5,6);k_71= (15,2,6);k_72= (14,3,6);k_73= (14,7,3);k_74= (13,6,6);k_75= (5,14,6);k_76= (15,7,6);k_77= (13,16,6);k_78= (7,15,6);k_79= (3,2,6);k_80= (13,10,6);
[1,5]; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1;
[2,5]; ; ; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
