index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;4;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
2;16;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
3;10;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
4;17;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
5;13;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
6;11;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
7;7;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
8;3;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
9;15;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
10;10;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;10
Nb_Served_Slices;0
Nb_Blocked_Slices;60
