index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;10;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
2;13;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
3;5;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
4;5;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
5;15;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
6;16;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
7;3;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
8;1;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
9;15;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
10;4;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
11;6;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
12;15;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
13;5;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
14;3;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
15;13;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
16;8;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
17;7;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
18;14;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
19;13;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
20;8;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
21;11;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
22;14;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
23;11;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
24;3;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
25;2;17;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
26;14;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
27;5;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
28;17;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
29;8;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
30;4;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
31;14;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
32;17;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
33;3;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
34;9;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
35;13;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
36;15;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
37;6;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
38;2;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
39;16;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
40;1;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;40
Nb_Served_Slices;0
Nb_Blocked_Slices;240
