index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;12;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
2;8;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
3;16;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
4;14;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
5;6;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
6;7;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
7;16;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
8;15;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
9;10;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
10;1;14;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
11;8;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
12;12;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
13;16;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
14;16;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
15;2;1;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
16;9;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
17;16;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
18;8;10;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
19;3;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
20;9;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
21;9;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
22;15;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
23;12;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
24;10;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
25;11;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
26;5;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
27;15;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
28;7;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
29;10;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
30;5;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
31;7;16;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
32;17;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
33;17;8;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
34;10;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
35;11;12;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
36;9;4;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
37;4;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
38;6;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
39;9;6;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
40;10;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
41;15;5;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
42;8;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
43;13;2;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
44;10;14;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
45;3;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
46;9;2;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
47;2;7;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
48;12;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
49;17;16;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
50;7;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
51;6;11;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
52;17;6;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
53;11;9;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
54;10;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
55;9;13;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
56;10;17;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
57;17;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
58;9;15;6;40000.000000;21.000000;0.000750;0.000000;0.000000;0
59;1;5;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0
60;17;15;6;20000.000000;24.000000;0.000750;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;60
Nb_Served_Slices;0
Nb_Blocked_Slices;360
