index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;4;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
2;11;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
3;12;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
4;1;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
5;1;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
6;9;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
7;2;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
8;3;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;1;3;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
10;11;6;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
11;11;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
12;1;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
13;3;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
14;13;4;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
15;7;4;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
16;12;3;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
17;1;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
18;10;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;1
19;9;11;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
20;2;3;6;20000.000000;24.000000;0.000750;0.000000;0.000000;1

Nb_Served_Demands;20
Nb_Blocked_Demands;0
Nb_Served_Slices;96
Nb_Blocked_Slices;0
