index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;17;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
2;18;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
3;12;11;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
4;14;18;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
5;17;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
6;2;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
7;3;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
8;2;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
9;3;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
10;13;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
11;13;9;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
12;18;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
13;7;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
14;9;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
15;5;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
16;9;2;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
17;17;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
18;5;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
19;1;8;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
20;17;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
21;13;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
22;9;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
23;10;15;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
24;13;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
25;17;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
26;5;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
27;17;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
28;4;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
29;3;10;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
30;14;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
31;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
32;10;3;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
33;2;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
34;4;13;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
35;7;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
36;15;4;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
37;17;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
38;8;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
39;11;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
40;18;6;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
41;4;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
42;3;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
43;15;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
44;15;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
45;17;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
46;16;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
47;6;1;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
48;6;7;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
49;5;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
50;11;3;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
51;16;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
52;17;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
53;9;17;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
54;18;5;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
55;4;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
56;10;11;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
57;6;15;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
58;4;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
59;2;10;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
60;3;9;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
61;12;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
62;2;15;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
63;4;3;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
64;11;12;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
65;7;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
66;12;10;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
67;2;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
68;9;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
69;9;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
70;8;5;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
71;8;16;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
72;18;2;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
73;6;17;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
74;16;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
75;3;6;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
76;4;14;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
77;16;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
78;1;16;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
79;14;7;3;100000.000000;13.000000;0.000375;0.000000;0.000000;0
80;3;8;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
81;9;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
82;10;12;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
83;13;12;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
84;6;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
85;1;6;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
86;9;18;4;20000.000000;16.000000;0.000500;0.000000;0.000000;0
87;16;13;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
88;4;9;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0
89;3;4;6;50000.000000;16.000000;0.000750;0.000000;0.000000;0
90;10;4;3;10000.000000;22.000000;0.000375;0.000000;0.000000;0

Nb_Served_Demands;0
Nb_Blocked_Demands;90
Nb_Served_Slices;0
Nb_Blocked_Slices;430
